RX ID: 0x182 | DLC: 8 | Data: 00 00 00 00 00 35 00 CE 
RX ID: 0x1F9 | DLC: 8 | Data: 20 00 04 FB 00 00 00 80 
RX ID: 0x300 | DLC: 1 | Data: 02 
RX ID: 0x2DE | DLC: 8 | Data: 00 00 80 06 F0 00 0E AC 
RX ID: 0x215 | DLC: 6 | Data: FF F0 FF 04 FF FF 
RX ID: 0x216 | DLC: 2 | Data: 40 24 
RX ID: 0x160 | DLC: 7 | Data: 34 C3 62 00 08 FF E0 
RX ID: 0x180 | DLC: 8 | Data: 04 FB 36 23 4C 00 36 00 
RX ID: 0x182 | DLC: 8 | Data: 00 00 00 00 00 36 00 CE 
RX ID: 0x1F9 | DLC: 8 | Data: 20 00 04 FB 00 00 00 80 
RX ID: 0x280 | DLC: 8 | Data: 01 FF C0 00 00 00 FF C0 
RX ID: 0x3AB | DLC: 4 | Data: 00 03 00 60 
RX ID: 0x5C5 | DLC: 8 | Data: 40 03 A9 48 00 0C 00 7F 
RX ID: 0x2DE | DLC: 8 | Data: 00 00 80 06 F0 00 0E AC 
RX ID: 0x351 | DLC: 8 | Data: 00 00 00 00 00 00 C2 00 
RX ID: 0x358 | DLC: 8 | Data: 00 0A 80 00 00 00 00 00 
RX ID: 0x35D | DLC: 8 | Data: 00 03 00 00 00 00 00 00 
RX ID: 0x160 | DLC: 7 | Data: 34 C3 63 00 08 FF E0 
RX ID: 0x180 | DLC: 8 | Data: 04 FB 36 33 4C 00 37 00 
RX ID: 0x182 | DLC: 8 | Data: 00 00 00 00 00 37 00 CE 
RX ID: 0x1F9 | DLC: 8 | Data: 20 00 04 FB 00 00 00 80 
RX ID: 0x300 | DLC: 1 | Data: 02 
RX ID: 0x2DE | DLC: 8 | Data: 00 00 80 06 F0 00 0E AC 
RX ID: 0x215 | DLC: 6 | Data: FF F0 FF 04 FF FF 
RX ID: 0x216 | DLC: 2 | Data: 40 24 
RX ID: 0x280 | DLC: 8 | Data: 01 FF C0 00 00 00 FF C0 
RX ID: 0x160 | DLC: 7 | Data: 34 C3 66 00 08 FF E0 
RX ID: 0x180 | DLC: 8 | Data: 04 FB 36 63 4C 00 38 00 
RX ID: 0x182 | DLC: 8 | Data: 00 00 00 00 00 38 00 CE 
RX ID: 0x1F9 | DLC: 8 | Data: 20 00 04 FB 00 00 00 80 
RX ID: 0x2DE | DLC: 8 | Data: 00 00 80 06 F0 00 0E AC 
RX ID: 0x355 | DLC: 7 | Data: 00 00 FF FF 00 00 40 
RX ID: 0x60D | DLC: 8 | Data: 08 00 00 00 00 00 00 00 
RX ID: 0x160 | DLC: 7 | Data: 34 C3 67 00 08 FF E0 
RX ID: 0x180 | DLC: 8 | Data: 04 FB 36 73 4C 00 39 00 
RX ID: 0x182 | DLC: 8 | Data: 00 00 00 00 00 39 00 CF 
RX ID: 0x1F9 | DLC: 8 | Data: 20 00 04 FB 00 00 00 80 
RX ID: 0x300 | DLC: 1 | Data: 02 
RX ID: 0x2DE | DLC: 8 | Data: 00 00 80 06 F0 00 0E AC 
RX ID: 0x215 | DLC: 6 | Data: FF F0 FF 04 FF FF 
RX ID: 0x216 | DLC: 2 | Data: 40 24 
RX ID: 0x280 | DLC: 8 | Data: 01 FF C0 00 00 00 FF C0 
RX ID: 0x160 | DLC: 7 | Data: 34 C3 6A 00 08 FF E0 
RX ID: 0x180 | DLC: 8 | Data: 04 FB 36 A3 4C 00 3A 00 
RX ID: 0x182 | DLC: 8 | Data: 00 00 00 00 00 3A 00 CF 
RX ID: 0x1F9 | DLC: 8 | Data: 20 00 04 FB 00 00 00 80 
RX ID: 0x2DE | DLC: 8 | Data: 00 00 80 06 F0 00 0E AC 
RX ID: 0x5E4 | DLC: 3 | Data: 00 00 00 
RX ID: 0x160 | DLC: 7 | Data: 34 C3 6B 00 08 FF E0 
RX ID: 0x180 | DLC: 8 | Data: 04 FB 36 B3 4C 00 3B 00 
RX ID: 0x182 | DLC: 8 | Data: 00 00 00 00 00 3B 00 CF 
RX ID: 0x1F9 | DLC: 8 | Data: 20 00 04 FB 00 00 00 80 
RX ID: 0x3AB | DLC: 4 | Data: 00 03 00 60 
RX ID: 0x300 | DLC: 1 | Data: 02 
RX ID: 0x2DE | DLC: 8 | Data: 00 00 80 06 F0 00 0E AC 
RX ID: 0x215 | DLC: 6 | Data: FF F0 FF 04 FF FF 
RX ID: 0x216 | DLC: 2 | Data: 40 24 
RX ID: 0x280 | DLC: 8 | Data: 01 FF C0 00 00 00 FF C0 
RX ID: 0x625 | DLC: 6 | Data: 02 00 FF 0D 20 00 
RX ID: 0x160 | DLC: 7 | Data: 34 C3 6B 00 08 FF E0 
RX ID: 0x180 | DLC: 8 | Data: 04 FB 36 B3 4C 00 3C 00 
RX ID: 0x182 | DLC: 8 | Data: 00 00 00 00 00 3C 00 CF 
RX ID: 0x1F9 | DLC: 8 | Data: 20 00 04 FB 00 00 00 80 
RX ID: 0x2DE | DLC: 8 | Data: 00 00 80 06 F0 00 0E AC 
RX ID: 0x355 | DLC: 7 | Data: 00 00 FF FF 00 00 40 
RX ID: 0x160 | DLC: 7 | Data: 34 C3 6C 00 08 FF E0 
RX ID: 0x180 | DLC: 8 | Data: 04 FB 36 C3 4C 00 3D 00 
RX ID: 0x182 | DLC: 8 | Data: 00 00 00 00 00 3D 00 CF 
RX ID: 0x1F9 | DLC: 8 | Data: 20 00 04 FB 00 00 00 80 
RX ID: 0x551 | DLC: 8 | Data: 6B 2F 00 00 FF 02 80 FF 
RX ID: 0x580 | DLC: 8 | Data: 00 14 80 02 6F 00 00 19 
RX ID: 0x6E2 | DLC: 8 | Data: 00 00 79 00 00 00 00 60 
RX ID: 0x300 | DLC: 1 | Data: 02 
RX ID: 0x2DE | DLC: 8 | Data: 00 00 80 06 F0 00 0E AC 
RX ID: 0x215 | DLC: 6 | Data: FF F0 FF 04 FF FF 
RX ID: 0x216 | DLC: 2 | Data: 40 24 
RX ID: 0x280 | DLC: 8 | Data: 01 FF C0 00 00 00 FF C0 
RX ID: 0x160 | DLC: 7 | Data: 34 C3 6E 00 08 FF E0 
RX ID: 0x180 | DLC: 8 | Data: 04 FB 36 E3 4C 00 3E 00 
RX ID: 0x182 | DLC: 8 | Data: 00 00 00 00 00 3E 00 D0 
RX ID: 0x1F9 | DLC: 8 | Data: 20 00 04 FB 00 00 00 80 
RX ID: 0x2DE | DLC: 8 | Data: 00 00 80 06 F0 00 0E AC 
RX ID: 0x160 | DLC: 7 | Data: 34 C3 6E 00 08 FF E0 
RX ID: 0x180 | DLC: 8 | Data: 04 FB 36 E3 4C 00 3F 00 
RX ID: 0x182 | DLC: 8 | Data: 00 00 00 00 00 3F 00 D0 
RX ID: 0x1F9 | DLC: 8 | Data: 20 00 04 FB 00 00 00 80 
RX ID: 0x300 | DLC: 1 | Data: 02 
RX ID: 0x2DE | DLC: 8 | Data: 00 00 80 06 F0 00 0E AC 
